ZCTA5CE,CLASSFP,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
15142,B5,G6350,S,5313484,0,+40.3859359,-080.1170708
15030,B5,G6350,S,5216700,0,+40.5880096,-079.7807676
15018,B5,G6350,S,4324417,0,+40.2837372,-079.7836320
15690,B5,G6350,S,56233406,12619,+40.6439049,-079.5492532
15613,B5,G6350,S,189060293,94892,+40.5628215,-079.5409146
16041,B5,G6350,S,82746241,0,+41.0078180,-079.7114544
16025,B5,G6350,S,139067932,156076,+40.9446825,-079.7582116
16228,B5,G6350,S,175798,0,+40.7608725,-079.5354826
16117,B5,G6350,S,83086009,198762,+40.8646857,-080.2587781
15027,B5,G6350,S,3270714,0,+40.6674307,-080.2400890
16115,B5,G6350,S,100012791,94175,+40.7966053,-080.4606954
16655,B5,G6350,S,76409660,59901,+40.2274170,-078.5032207
16625,B5,G6350,S,94231517,10534,+40.3001377,-078.5168573
15521,B5,G6350,S,90958487,13178,+40.2075963,-078.6386615
17211,B5,G6350,S,77912653,53016,+39.7541495,-078.4009663
16659,B5,G6350,S,1194977,23656,+40.1651510,-078.3774440
15533,B5,G6350,S,91832684,372638,+39.9729494,-078.2553665
19604,B5,G6350,S,7283193,949,+40.3571425,-075.9084407
19608,B5,G6350,S,66689226,110838,+40.3107982,-076.0347715
19550,B5,G6350,S,1885627,5622,+40.4549393,-076.2494322
19605,B5,G6350,S,49527823,88351,+40.4073517,-075.9420075
19547,B5,G6350,S,73977180,244133,+40.3800482,-075.7686028
18041,B5,G6350,S,35606930,7923,+40.4204596,-075.5099260
19511,B5,G6350,S,1017325,4079,+40.4860592,-075.7416033
19541,B5,G6350,S,58731951,140047,+40.4785146,-076.0254890
16635,B5,G6350,S,169903100,245296,+40.4085325,-078.4767827
16686,B5,G6350,S,354753062,671374,+40.6661358,-078.2352280
16631,B5,G6350,S,1213187,0,+40.2711426,-078.3469357
16947,B5,G6350,S,301059205,1359505,+41.7595017,-076.8040504
18850,B5,G6350,S,146716128,894925,+41.8561646,-076.4952777
18848,B5,G6350,S,336724748,2260191,+41.7400079,-076.4661575
19054,B5,G6350,S,10761987,341721,+40.1730238,-074.8188220
19053,B5,G6350,S,27910700,210834,+40.1536805,-074.9749907
18081,B5,G6350,S,111761,0,+40.5564000,-075.2880548
18980,B5,G6350,S,5688167,3664,+40.2699652,-075.0171823
18942,B5,G6350,S,56558798,241636,+40.4688259,-075.1668106
19020,B5,G6350,S,44252364,362237,+40.1061138,-074.9362884
18930,B5,G6350,S,53806233,127623,+40.5210801,-075.2186285
16045,B5,G6350,S,1749790,0,+40.8533354,-079.9179682
16020,B5,G6350,S,67535747,0,+41.1139336,-079.8988400
15931,B5,G6350,S,212950139,1214414,+40.5148686,-078.7839603
15942,B5,G6350,S,41394485,271582,+40.3974289,-078.8107794
15775,B5,G6350,S,8422912,14751,+40.6325986,-078.7881149
16624,B5,G6350,S,2216588,0,+40.5699477,-078.6089016
18661,B5,G6350,S,298347473,896695,+41.0764297,-075.7408703
16829,B5,G6350,S,24465151,0,+41.0586522,-077.9601017
16882,B5,G6350,S,73216884,0,+40.9117504,-077.3281278
19341,B5,G6350,S,32356998,256422,+40.0399407,-075.6406257
19365,B5,G6350,S,48979090,165340,+39.9627284,-075.9267668
19342,B5,G6350,S,56910113,111549,+39.9076174,-075.5000225
16232,B5,G6350,S,147457402,587412,+41.2210233,-079.5502914
16331,B5,G6350,S,6252209,14505,+41.3052771,-079.5583510
16254,B5,G6350,S,136205050,541627,+41.2533448,-079.4614575
16233,B5,G6350,S,94597558,81065,+41.3669205,-079.2819744
16235,B5,G6350,S,68078800,168439,+41.3226607,-079.3523344
16361,B5,G6350,S,5879689,6440,+41.3838894,-079.3458730
15849,B5,G6350,S,173865430,476950,+41.1940303,-078.5493921
15824,B5,G6350,S,197922373,863495,+41.2585562,-078.8491385
15840,B5,G6350,S,53287752,174751,+41.1719718,-078.8226489
16863,B5,G6350,S,54774628,513259,+40.8985435,-078.4831548
17747,B5,G6350,S,214795873,814437,+41.0326133,-077.3315920
18603,B5,G6350,S,154924257,840547,+41.0890029,-076.2399573
17846,B5,G6350,S,107540993,470899,+41.1417449,-076.5171217
16406,B5,G6350,S,198953774,122951,+41.7482672,-080.3647273
16424,B5,G6350,S,179918843,328388,+41.6654861,-080.4360161
16111,B5,G6350,S,61925639,17353,+41.5185241,-080.2834451
17057,B5,G6350,S,81759503,53139,+40.2003917,-076.7208944
17101,B5,G6350,S,1336772,0,+40.2610881,-076.8820077
17048,B5,G6350,S,103568345,17973,+40.6053406,-076.7252576
15853,B5,G6350,S,353361242,1658913,+41.3923358,-078.7917066
15469,B5,G6350,S,81406160,276920,+40.0098151,-079.4183989
15468,B5,G6350,S,24990644,26824,+39.9488502,-079.8372475
15484,B5,G6350,S,21398,0,+39.8957481,-079.7879229
15466,B5,G6350,S,238809,0,+40.0758490,-079.8960090
15422,B5,G6350,S,2004330,0,+39.9791766,-079.8188823
16321,B5,G6350,S,7381301,0,+41.5736454,-079.3894403
16322,B5,G6350,S,42503927,0,+41.5834185,-079.3486110
16351,B5,G6350,S,240003455,0,+41.6711449,-079.3615216
17221,B5,G6350,S,26150746,176661,+40.0500324,-077.8208465
17254,B5,G6350,S,766009,0,+39.9710397,-077.5878917
17223,B5,G6350,S,25990201,48630,+40.0864996,-077.9427521
16674,B5,G6350,S,51279104,0,+40.1870706,-078.0843714
15349,B5,G6350,S,112973153,72656,+39.7613710,-080.0732682
15359,B5,G6350,S,2863766,0,+39.8761028,-080.2915737
15310,B5,G6350,S,40957980,0,+39.7871950,-080.4649795
16652,B5,G6350,S,403952152,56864,+40.5071282,-077.9595283
17239,B5,G6350,S,23518648,0,+40.1315010,-077.8370734
15746,B5,G6350,S,3430066,2204,+40.7585090,-078.8892943
15761,B5,G6350,S,4247283,0,+40.6272069,-078.8978420
15745,B5,G6350,S,2048962,0,+40.6252810,-078.9200720
15777,B5,G6350,S,354424,0,+40.7040627,-078.9566596
15734,B5,G6350,S,534001,0,+40.7211579,-079.0065536
15825,B5,G6350,S,402560843,2234958,+41.1749470,-079.0344007
15778,B5,G6350,S,2051159,3151,+40.9690638,-079.1952789
15730,B5,G6350,S,3656168,16822,+41.0575938,-079.0949381
15744,B5,G6350,S,13927166,279895,+40.9225594,-079.0840093
17049,B5,G6350,S,98752234,0,+40.6535519,-077.2609707
18508,B5,G6350,S,19177861,0,+41.4526383,-075.6619228
18433,B5,G6350,S,71230642,1038391,+41.5735734,-075.6038606
18519,B5,G6350,S,6527999,0,+41.4629410,-075.6302951
18517,B5,G6350,S,9617766,0,+41.3942124,-075.7146026
18641,B5,G6350,S,9131685,0,+41.3331528,-075.7368512
17584,B5,G6350,S,36646319,328143,+39.9554133,-076.2635814
17566,B5,G6350,S,148868938,620872,+39.8671860,-076.1475130
17601,B5,G6350,S,85424658,711516,+40.0740636,-076.3166489
17538,B5,G6350,S,10028379,16274,+40.0912814,-076.4135657
17536,B5,G6350,S,55780779,277548,+39.8471989,-076.0719574
17563,B5,G6350,S,82355289,341695,+39.7653301,-076.1802765
17535,B5,G6350,S,30406628,196329,+40.0408699,-076.0206560
17508,B5,G6350,S,366498,0,+40.1246345,-076.2187655
17550,B5,G6350,S,131148,0,+40.0727055,-076.5854225
16132,B5,G6350,S,5014164,826383,+41.0023260,-080.5047692
16159,B5,G6350,S,72336841,210188,+41.1505025,-080.4610459
18015,B5,G6350,S,61823892,410690,+40.5921727,-075.3653627
18709,B5,G6350,S,2040977,0,+41.2854728,-075.8964010
18246,B5,G6350,S,5522271,0,+40.9571756,-076.1951072
18708,B5,G6350,S,47868124,159691,+41.2957295,-075.9631963
18234,B5,G6350,S,651717,0,+40.9925398,-075.9646336
18601,B5,G6350,S,862344,0,+41.0699735,-076.1794246
17765,B5,G6350,S,226789412,993188,+41.5955230,-076.9978265
16930,B5,G6350,S,166772976,290170,+41.5837823,-077.1388257
16726,B5,G6350,S,84630330,35427,+41.8145901,-078.5724631
16731,B5,G6350,S,163023184,1455741,+41.9513797,-078.3603784
16333,B5,G6350,S,17065003,808,+41.6973289,-078.9167703
16133,B5,G6350,S,76636368,780960,+41.2677912,-080.1144506
16150,B5,G6350,S,59741272,0,+41.2850586,-080.4459000
16145,B5,G6350,S,120120158,5582187,+41.3805160,-080.0786380
16124,B5,G6350,S,75992596,7040,+41.3361200,-080.2759146
44438,B5,G6350,S,24087846,44782,+41.2564028,-080.5389774
18360,B5,G6350,S,222386014,1305077,+40.9737679,-075.2900079
19075,B5,G6350,S,5868475,27173,+40.1138799,-075.1850307
19002,B5,G6350,S,53749170,109725,+40.1865872,-075.2067770
19034,B5,G6350,S,15382066,0,+40.1346488,-075.2055076
19025,B5,G6350,S,7677774,0,+40.1446127,-075.1637854
19462,B5,G6350,S,22858903,0,+40.1151213,-075.2845115
19405,B5,G6350,S,1915065,0,+40.1037209,-075.3410555
18915,B5,G6350,S,2605938,0,+40.2725771,-075.2567880
19072,B5,G6350,S,8174577,0,+40.0240682,-075.2580186
19437,B5,G6350,S,1608153,0,+40.1832446,-075.2617516
19492,B5,G6350,S,1494805,0,+40.2819997,-075.4885712
18045,B5,G6350,S,48387726,296988,+40.6934497,-075.2727964
18063,B5,G6350,S,1255143,51453,+40.7818331,-075.1848888
18038,B5,G6350,S,38825327,856013,+40.7948808,-075.4860870
18091,B5,G6350,S,39053087,726432,+40.8248458,-075.3256512
17730,B5,G6350,S,550637,0,+41.1080510,-076.8791686
17840,B5,G6350,S,11035265,0,+40.7679118,-076.4496846
17857,B5,G6350,S,69106552,57623,+40.9321358,-076.7729718
17836,B5,G6350,S,16259341,29600,+40.7178367,-076.5787549
19133,B5,G6350,S,3311259,6252,+39.9930919,-075.1416710
19103,B5,G6350,S,1730175,0,+39.9528248,-075.1739309
19130,B5,G6350,S,3300929,0,+39.9678323,-075.1746411
19131,B5,G6350,S,13385323,89020,+39.9867717,-075.2195213
19134,B5,G6350,S,9406960,1230,+39.9910986,-075.1068327
19125,B5,G6350,S,3720818,1806,+39.9772448,-075.1252219
18457,B5,G6350,S,5673829,110862,+41.4642917,-075.0469686
17901,B5,G6350,S,197265664,1178144,+40.6569878,-076.1956312
18252,B5,G6350,S,162661619,572779,+40.7667553,-075.9737746
17934,B5,G6350,S,2061582,52976,+40.7991678,-076.2134435
17944,B5,G6350,S,210669,0,+40.6733910,-076.2790400
17946,B5,G6350,S,4448413,0,+40.8120319,-076.2544838
18218,B5,G6350,S,5633385,0,+40.8197353,-075.9161523
15935,B5,G6350,S,65160861,2796404,+40.2081314,-078.9650268
15563,B5,G6350,S,148876331,5498,+40.0975750,-078.9289202
15936,B5,G6350,S,65389176,37415,+40.1643569,-078.9057679
18822,B5,G6350,S,112822690,468740,+41.9401112,-075.7949878
18843,B5,G6350,S,3035799,0,+41.8100298,-075.8927551
18821,B5,G6350,S,12337302,21462,+41.9899101,-075.7227975
16933,B5,G6350,S,238973953,250879,+41.8136826,-077.0715848
17855,B5,G6350,S,13914948,46415,+40.8838803,-077.0050971
16301,B5,G6350,S,258533884,590160,+41.4507037,-079.6492247
16340,B5,G6350,S,238541729,0,+41.7976369,-079.4133502
16329,B5,G6350,S,14715792,0,+41.8419733,-079.2593878
15324,B5,G6350,S,891764,0,+40.1002031,-080.0656210
15021,B5,G6350,S,243781072,69450,+40.3885653,-080.4415265
15317,B5,G6350,S,120399612,335016,+40.2691527,-080.1692760
15376,B5,G6350,S,89547366,447929,+40.1089000,-080.4789589
15477,B5,G6350,S,1730836,0,+40.0825861,-079.8679804
15350,B5,G6350,S,127830,0,+40.2922835,-080.2022122
15432,B5,G6350,S,1369845,0,+40.1124010,-079.8590666
18415,B5,G6350,S,88832738,935006,+41.7435299,-075.1242683
18431,B5,G6350,S,380278670,9465925,+41.6309895,-075.2490962
18427,B5,G6350,S,3778801,237218,+41.4391587,-075.2564878
18443,B5,G6350,S,30882492,135606,+41.6660139,-075.1136904
15679,B5,G6350,S,52735003,0,+40.1784626,-079.6447782
15062,B5,G6350,S,7705424,0,+40.1512012,-079.8820183
15083,B5,G6350,S,9488381,0,+40.2538803,-079.7872001
15617,B5,G6350,S,1221873,0,+40.2687196,-079.6579254
15632,B5,G6350,S,68505984,10341,+40.4357193,-079.6055206
15695,B5,G6350,S,1214524,0,+40.1950614,-079.6915001
15676,B5,G6350,S,3771678,0,+40.2417275,-079.4618948
15693,B5,G6350,S,1605166,0,+40.2514381,-079.4070238
17349,B5,G6350,S,55064302,22309,+39.7488533,-076.7200756
17402,B5,G6350,S,115231163,95101,+39.9835868,-076.6761002
17364,B5,G6350,S,49204382,0,+39.9284572,-076.9056568
17313,B5,G6350,S,25924543,0,+39.8835156,-076.6563946
17319,B5,G6350,S,36801755,0,+40.1551807,-076.7934642
17320,B5,G6350,S,148388554,431763,+39.7701483,-077.3898643
17306,B5,G6350,S,1080369,0,+39.9810638,-077.2489669
15068,B5,G6350,S,115720050,20320,+40.5607506,-079.7109644
15210,B5,G6350,S,11908256,0,+40.4070977,-079.9849238
