LEAName,LEATypeDescription_first,LEACounty_first,YearsInEd_mean,YearsInLEA_mean,female_sum,AnnualSalary_mean,N_teachers
McKeesport Area SD,School District,Allegheny,15.5944444444444,14.5194444444444,271,62016.675,360
Mechanicsburg Area SD,School District,Cumberland,14.4626865671642,11.1151385927505,334,62477.952991453,469
Mercer Area SD,School District,Mercer,15.0184049079755,13.4355828220859,115,58539.8834355828,163
Methacton SD,School District,Montgomery,14.6752475247525,13.3465346534653,384,77342.2217821782,505
Meyersdale Area SD,School District,Somerset,14.8715596330275,14.1926605504587,73,59142.4587155963,109
Mid Valley SD,School District,Lackawanna,14.3356643356643,12.5034965034965,107,55844.3591549296,143
Midd-West SD,School District,Snyder,14.2893401015228,12.7258883248731,145,59628.7817258883,197
Middletown Area SD,School District,Dauphin,15.4080267558528,12.819397993311,207,61857.0535117057,299
Midland Borough SD,School District,Beaver,14.6071428571429,13.25,24,58281.6428571429,28
Mifflin County SD,School District,Mifflin,13.3326653306613,11.7715430861723,379,53324.702811245,499
Mifflinburg Area SD,School District,Union,16.4242424242424,13.7525252525253,121,55823.0050505051,198
Millcreek Township SD,School District,Erie,14.480252764613,12.6271721958926,462,60120.7314375987,633
Millersburg Area SD,School District,Dauphin,17.5802469135802,15.8641975308642,56,61442.4444444444,81
Millville Area SD,School District,Columbia,11.5591397849462,9.83870967741935,67,54498.2580645161,93
Milton Area SD,School District,Northumberla,14.0334572490706,12.0631970260223,195,60125.3085501859,269
Minersville Area SD,School District,Schuylkill,13.1225806451613,10.9096774193548,117,50894.974025974,155
Mohawk Area SD,School District,Lawrence,14.6148648648649,13.5810810810811,93,68795.972972973,148
Monessen City SD,School District,Westmoreland,12.3474576271186,12.3474576271186,84,56255.1949152542,118
Moniteau SD,School District,Butler,12.9016393442623,10.7540983606557,84,60137.6885245902,122
Montgomery Area SD,School District,Lycoming,16.0849056603774,13.877358490566,85,62140.4811320755,106
Montour SD,School District,Allegheny,14.863829787234,13.5744680851064,169,88285.114893617,235
Montoursville Area SD,School District,Lycoming,16.345,14.415,140,66192.535,200
Montrose Area SD,School District,Susquehanna,14.1301369863014,12.3287671232877,106,65308.2945205479,146
Moon Area SD,School District,Allegheny,12.8032036613272,11.6681922196796,322,69524.5812356979,437
Morrisville Borough SD,School District,Bucks,15.65625,12.875,58,80909.6041666667,96
Moshannon Valley SD,School District,Clearfield,11.2242990654206,9.81308411214953,71,50760.476635514,107
Mount Carmel Area SD,School District,Northumberla,10.8187134502924,9.75438596491228,130,46906.380952381,171
Mount Pleasant Area SD,School District,Westmoreland,9.73972602739726,8.5662100456621,164,62943.6803652968,219
Mount Union Area SD,School District,Huntingdon,13.6780487804878,12.0146341463415,141,48146.5665024631,205
Mountain View SD,School District,Susquehanna,15.0070422535211,13.2323943661972,108,67937.524822695,142
Mt Lebanon SD,School District,Allegheny,15.832469775475,13.8082901554404,396,77363.9447322971,579
Muhlenberg SD,School District,Berks,13.6830065359477,11.6797385620915,211,68322.2222222222,306
Muncy SD,School District,Lycoming,15.3643410852713,13.3410852713178,65,62394.7519379845,129
Nazareth Area SD,School District,Northampton,14.9766839378238,12.8937823834197,281,74196.1010362694,386
Neshaminy SD,School District,Bucks,16.391495601173,15.158357771261,495,90683.9648093842,682
Neshannock Township SD,School District,Lawrence,15.8061224489796,13.7448979591837,75,68349.193877551,98
New Brighton Area SD,School District,Beaver,17.5732484076433,16.3821656050955,114,64986.847133758,157
New Castle Area SD,School District,Lawrence,16.2035087719298,14.3859649122807,176,72722.2350877193,285
New Hope-Solebury SD,School District,Bucks,12.5689655172414,11.0057471264368,108,93610,174
New Kensington-Arnold SD,School District,Westmoreland,13.4574468085106,12.1117021276596,139,64574.8776595745,188
Newport SD,School District,Perry,15.5076923076923,13.5153846153846,105,59999.8230769231,130
Norristown Area SD,School District,Montgomery,13.6713395638629,11.5342679127726,490,80487.9501557632,642
North Allegheny SD,School District,Allegheny,14.9418316831683,12.9517326732673,562,78267.1794554455,808
North Clarion County SD,School District,Clarion,12.2432432432432,11.7702702702703,58,54501.972972973,74
North East SD,School District,Erie,16.5819209039548,14.0056497175141,115,58197.4124293785,177
North Hills SD,School District,Allegheny,16.1904761904762,15.1704260651629,278,73720.5488721805,399
North Penn SD,School District,Montgomery,15.4558333333333,13.3166666666667,870,85692.1801501251,1200
North Pocono SD,School District,Lackawanna,12.8707224334601,11.212927756654,196,64318.5589353612,263
North Schuylkill SD,School District,Schuylkill,13.7748691099476,10.5340314136126,135,57921.7905759162,191
North Star SD,School District,Somerset,13.9858156028369,13.0496453900709,102,48658.7163120567,141
Northampton Area SD,School District,Northampton,13.0499040307102,10.9001919385797,387,70131.7888675624,521
Northeast Bradford SD,School District,Bradford,16.421875,14.40625,47,68549.125,64
Northeastern York SD,School District,York,14.2225063938619,11.9514066496164,287,74259.9667519182,391
Northern Bedford County SD,School District,Bedford,15.4144144144144,13.4144144144144,79,52112.4954954955,111
Northern Cambria SD,School District,Cambria,14.0168067226891,12.4957983193277,82,59271.8319327731,119
Northern Lebanon SD,School District,Lebanon,14.4887892376682,12.0538116591928,147,61928.7488789238,223
Northern Lehigh SD,School District,Lehigh,18.0108108108108,15.4648648648649,119,69987.0378378378,185
Northern Potter SD,School District,Potter,14.25,13.5921052631579,59,56907.3066666667,76
Northern Tioga SD,School District,Tioga,15.8018433179724,14.6267281105991,165,58409.9861751152,217
Northern York County SD,School District,York,14.1127167630058,11.5491329479769,260,57230.0722543353,346
Northgate SD,School District,Allegheny,14.9842519685039,13.496062992126,89,71941.1181102362,127
Northwest Area SD,School District,Luzerne,12.7848101265823,11.873417721519,50,61023.7088607595,79
Northwestern  SD,School District,Erie,14.6976744186047,12.8488372093023,108,54889.0988372093,172
Northwestern Lehigh SD,School District,Lehigh,15.0555555555556,12.3769841269841,182,67316.7520661157,252
