Match_addr,City,Subregion,Region,Postal,Lon,Lat,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ARC_Addres,ARC_Neighb,ARC_City,ARC_Subreg,ARC_Region,ARC_Postal,ARC_Post_1,ARC_Countr,Date_Clean,Address_Cl,Zip_Code,Type_Clean,STATEFP,COUNTYFP,COUSUBFP,COUSUBNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CNECTAFP,NECTAFP,NCTADVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
"Carlisle Pike, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.95624,40.23784,-76.95624,40.23784,-76.96224,-76.95024,40.23184,40.24384,4750 Carlisle Pike 17011,,,17011,,,,,11/24/2015,4750 Carlisle Pike 17011,17011,Simple Assault,,,,,,,,,,,,,,,,,,
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.93739,40.23952,-76.93739,40.23952,-76.94239,-76.93239,40.23452,40.24452,4750 Brian Road 17011,,,17011,,,,,1/21/2015,4750 Brian Road 17011,17011,Simple Assault,,,,,,,,,,,,,,,,,,
"E Trindle Rd, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.95514,40.23130,-76.95514,40.23130,-76.95714,-76.95314,40.22930,40.23330,4750 East Trindle Road 17011,,,17011,,,,,7/3/2015,4750 East Trindle Road 17011,17011,Theft by Unlawful Taking,,,,,,,,,,,,,,,,,,
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.93739,40.23952,-76.93739,40.23952,-76.94239,-76.93239,40.23452,40.24452,4750 Brian Road 17011,,,17011,,,,,9/13/2015,4750 Brian Road 17011,17011,Theft from a Motor Vehicle,,,,,,,,,,,,,,,,,,
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.93739,40.23952,-76.93739,40.23952,-76.94239,-76.93239,40.23452,40.24452,4750 Brian Road 17011,,,17011,,,,,8/2/2015,4750 Brian Road 17011,17011,Theft from a Motor Vehicle,,,,,,,,,,,,,,,,,,
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.93739,40.23952,-76.93739,40.23952,-76.94239,-76.93239,40.23452,40.24452,4750 Delbrook Road 17011,,,17011,,,,,11/20/2015,4750 Delbrook Road 17011,17011,Theft of a Motor Vehicle,,,,,,,,,,,,,,,,,,
"E Trindle Rd, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.95514,40.23130,-76.95514,40.23130,-76.95714,-76.95314,40.22930,40.23330,4750 East Trindle Road 17011,,,17011,,,,,6/2/2016,4750 East Trindle Road 17011,17011,Vehicle Theft,,,,,,,,,,,,,,,,,,
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.93739,40.23952,-76.93739,40.23952,-76.94239,-76.93239,40.23452,40.24452,4850 Virginia Road 17011,,,17011,,,,,6/27/2015,4850 Virginia Road 17011,17011,Access Device Fraud,,,,,,,,,,,,,,,,,,
"E Trindle Rd, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.95514,40.23130,-76.95514,40.23130,-76.95714,-76.95314,40.22930,40.23330,4850 East Trindle Road 17011,,,17011,,,,,1/14/2015,4850 East Trindle Road 17011,17011,Burglary,,,,,,,,,,,,,,,,,,
"Carlisle Pike, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.95624,40.23784,-76.95624,40.23784,-76.96224,-76.95024,40.23184,40.24384,4850 Carlisle Pike 17011,,,17011,,,,,3/22/2016,4850 Carlisle Pike 17011,17011,Criminal Mischief,,,,,,,,,,,,,,,,,,
"Carlisle Pike, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.95624,40.23784,-76.95624,40.23784,-76.96224,-76.95024,40.23184,40.24384,4850 Carlisle Pike 17011,,,17011,,,,,5/17/2015,4850 Carlisle Pike 17011,17011,Criminal Mischief,,,,,,,,,,,,,,,,,,
"E Trindle Rd, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.95514,40.23130,-76.95514,40.23130,-76.95714,-76.95314,40.22930,40.23330,4850 East Trindle Road 17011,,,17011,,,,,12/23/2016,4850 East Trindle Road 17011,17011,Driving Under the Influence,,,,,,,,,,,,,,,,,,
