OBJECTID,year,origin,enplanements,passengers,departures,arrivals,freight,mail
1041,2024,SFF,28,28,7,7,0,0
1042,2024,SFM,3,3,2,2,0,0
1043,2024,SFO,17631272,17666714,138571,138528,218234842,8795256
1044,2024,SGF,702267,703480,11246,11258,13188937,0
1045,2024,SGR,11,11,2,1,0,0
1046,2024,SGU,161127,161254,3340,3288,307530,0
1047,2024,SGY,4607,5458,1273,1271,64985,50795
1048,2024,SHD,8717,8717,630,621,0,0
1049,2024,SHG,1571,3327,1000,1001,133418,68475
1050,2024,SHH,3282,3533,1188,1190,45961,37683
1051,2024,SHN,0,0,2,2,0,0
1052,2024,SHR,29458,29459,730,730,0,0
1053,2024,SHV,352177,358096,6864,6909,18436684,1334
1054,2024,SHX,230,453,391,391,57527,33158
1055,2024,SIG,16765,16765,3070,3045,608,0
1056,2024,SIT,98066,129886,4203,4214,6011493,2262753
1057,2024,SIY,5,5,1,2,0,0
1058,2024,SJC,5502643,5547234,52111,51995,34333107,12237
1059,2024,SJT,49493,50057,1438,1735,420078,0
1060,2024,SJU,5726986,5743421,51483,51433,140644217,6119911
1061,2024,SKA,66,66,1,1,0,0
1062,2024,SKF,170,170,4,4,0,0
1063,2024,SKJ,40,46,28,26,0,0
1064,2024,SKK,1745,3522,1240,1240,64349,50946
1065,2024,SKW,103,108,157,168,8368,3236
1066,2024,SLC,12883266,12910474,118793,118258,153729267,13370279
1067,2024,SLE,28116,28116,766,767,518544,0
1068,2024,SLK,4838,4845,1080,1058,0,0
1069,2024,SLN,19595,21160,748,756,0,0
1070,2024,SLQ,125,166,211,210,9195,16369
1071,2024,SME,3,3,1,1,0,0
1072,2024,SMF,6469089,6502669,59380,59582,98433756,137337
1073,2024,SMK,1866,3734,1500,1504,107497,48867
1074,2024,SMO,58,58,22,17,0,0
1075,2024,SMX,13506,13755,876,800,1007316,0
1076,2024,SNA,5188918,5207539,47578,47387,24740311,0
1077,2024,SNP,1620,1662,356,355,77549,62471
1078,2024,SNS,2,2,1,1,0,0
1079,2024,SOP,32,32,7,6,0,0
1080,2024,SOV,4309,5067,2633,2612,5475,4005
1081,2024,SOW,3654,3654,480,485,0,0
1082,2024,SPB,4483,4483,520,522,0,0
1083,2024,SPG,23,23,5,4,0,0
1084,2024,SPI,51784,52342,951,951,7883,0
1085,2024,SPN,79768,79826,12486,11917,1545708,53575
1086,2024,SPS,29699,33209,775,775,885,64
1087,2024,SQA,0,0,2,2,4086,0
1088,2024,SQL,1725,1725,484,483,0,0
1089,2024,SQV,4,4,2,2,0,0
1090,2024,SRQ,2103213,2111730,16602,16605,111651,0
1091,2024,SRV,73,101,141,145,2778,5611
1092,2024,SSB,4872,4872,522,520,0,0
1093,2024,SSC,0,0,1,2,0,0
1094,2024,SSF,7,7,2,2,0,0
1095,2024,SSI,26,26,8,6,0,0
1096,2024,STC,23876,23876,164,162,0,0
1097,2024,STG,256,297,215,216,15021,11873
1098,2024,STL,7569385,7636845,72091,72165,79488040,2945
1099,2024,STP,28,28,8,7,0,0
1100,2024,STS,382401,382401,5356,5356,1917,0
1101,2024,STT,816576,816618,18464,18773,160839,0
1102,2024,STX,264871,265139,12852,13147,128631,0
1103,2024,SUA,62,62,26,23,0,0
1104,2024,SUN,120985,120985,2566,2590,132811,0
1105,2024,SUO,10,10,5,5,0,0
1106,2024,SUS,47,47,27,29,3254,0
1107,2024,SUU,276,276,49,40,2768655,0
1108,2024,SUX,28289,28412,745,747,0,0
1109,2024,SVA,3199,4467,1184,1184,65955,91471
1110,2024,SVC,6915,6915,1245,1248,0,0
1111,2024,SVH,8,8,6,3,0,0
1112,2024,SVN,320,320,4,7,0,0
1113,2024,SVS,266,525,202,203,23062,6436
1114,2024,SVW,0,0,5,5,56602,0
1115,2024,SWD,9,13,15,14,170,0
1116,2024,SWF,91881,95044,1232,1394,15992136,1114516
1117,2024,SWO,34729,34729,761,759,25464,0
1118,2024,SWW,0,0,3,3,4872,0
1119,2024,SXP,1291,1914,1313,1309,14692,9799
1120,2024,SXQ,14,21,16,15,0,0
1121,2024,SXY,3,3,1,1,0,0
1122,2024,SYB,133,149,126,130,2179,1231
1123,2024,SYI,11,11,1,1,0,0
1124,2024,SYR,1486254,1494612,18450,18454,36538056,2490370
1125,2024,T4X,1249,1255,62,66,0,0
1126,2024,T6X,8,8,1,1,0,0
1127,2024,T8X,7,7,7,9,9526,0
1128,2024,TAL,1702,2079,458,467,44127,9231
1129,2024,TBN,11237,11237,598,594,0,0
1130,2024,TCL,3451,3501,91,86,17545,0
1131,2024,TCM,144,144,8,2,8134,0
1132,2024,TCS,0,0,1,1,0,0
1133,2024,TCT,363,433,220,224,19954,889
1134,2024,TDZ,0,0,1,1,0,0
1135,2024,TEB,7518,7518,1808,1740,15901,0
1136,2024,TEK,610,616,244,243,23969,15439
1137,2024,TEX,10580,10580,614,613,0,0
1138,2024,TIK,111,111,2,1,0,0
1139,2024,TIQ,30538,30538,9385,9708,91304,0
1140,2024,TIW,31,31,13,13,0,0
1141,2024,TIX,22,22,4,4,0,0
1142,2024,TKE,495,875,391,395,16716,6299
1143,2024,TKF,1094,1094,285,287,4,0
1144,2024,TKJ,407,413,409,409,43540,20807
1145,2024,TLA,1310,2883,756,758,46390,50368
1146,2024,TLH,469187,473651,8518,8629,8074162,0
1147,2024,TLJ,18,19,19,23,25675,0
1148,2024,TLT,2628,2703,1476,1478,16894,9006
1149,2024,TMB,41,36,20,18,0,0
1150,2024,TN8,508,508,82,84,0,0
1151,2024,TN9,17,17,2,1,0,0
1152,2024,TNC,91,309,100,100,31300,3859
1153,2024,TNK,1554,2650,1135,1134,27039,53025
1154,2024,TOA,4,4,1,1,0,0
1155,2024,TOG,3030,3537,1442,1443,46461,36311
1156,2024,TOL,66438,66781,1132,1129,18188940,0
1157,2024,TPA,11362891,11407613,86286,86359,82516234,7483379
1158,2024,TPF,20,20,5,1,0,0
