"","NCESSCH","USER_ID","cohort","TreatmentFlag","FIDELmid","EFFmeanMID","EFFmeanFINAL","CoTeachStrat","FINAL_a","FINAL_b","FINAL_c","MID_a","MID_b","MID_c","REG_a","REG_b","REG_c","CollabDialogueFinal","CollabDialogueMid","FidelMax","REG_Gender","REG_AgeRange","REG_Exper","REG_GPA","pctLunch","Enrollment","keep","ZPR_1","ZEFFmeanFINAL","ZEFFmeanMID","ZFIDELmid","ZREG_GPA","cc","FIDxGRP","PRE_1","COO_1","LEV_1","PRE_2","COO_2","LEV_2"
"36",421899005041,"394","Semester 4",1,4.63636363636364,2.83333333333333,4,7,4,4,4,2.75,3.25,2.5,2.5,2.75,2.75,1.1,1.7,5,2,1,2,3.8,0.461538461538462,520,1,-1.31307348589323,0.960002334375313,-1.31307348589323,0.391146579622178,0.504303880870253,1,4.63636363636364,0.0353518496205608,0.00465896053958912,0.00304615363198706,0.108634421113447,0.00480718395614406,0.00412412921408043
"37",421899004727,"Sar","Semester 3 Control",0,4.54545454545455,3,4,0,4,4,4,3,3,3,NA,NA,NA,1.9,2,4.33333333333333,2,1,1,3.7,50.869,1028,1,-0.882908235311011,0.960002334375313,-0.882908235311013,0.248121264649221,0.10483341068419,1,0,0.374849385834255,0.0112793017576246,0.017628543118809,0.245633686600348,0.00861113371453776,0.02098003434546
"38",421899004727,"Jil","Semester 5 Control",0,5,3.08333333333333,3.91666666666667,0,4,3.75,4,3.25,3,3,NA,NA,NA,1,1.4,5,2,2,3,3.9,50.869,1028,1,-0.667825610019903,0.757484359408026,-0.667825610019905,0.963247839514007,0.903774351056318,1,0,0.473058818818284,0.0157416597688516,0.0325569272220965,0.734188141534785,0.0273598383894655,0.0462442594041784
"39",421899004727,"Lau","Semester 5 Control",0,5,3.58333333333333,3.91666666666667,0,3.75,4,4,3.5,3.5,3.75,NA,NA,NA,1,1.1,4.08333333333333,2,2,1,3.6,50.869,1028,1,0.622670141726743,0.757484359408026,0.622670141726743,0.963247839514007,-0.294637059501875,1,0,0.473058818818284,0.000270704915763486,0.0325569272220965,0.331021588970983,0.000944234574139581,0.0366065251918598
"40",421899003803,"464","Semester 5",1,5,4,4,4,4,4,4,4,4,4,3,3.75,3.25,2,1,5,2,1,1,3.7,0.530577088716624,1161,1,1.69808326818228,0.960002334375313,1.69808326818228,0.963247839514007,0.10483341068419,1,5,0.294629048096179,0.00916067920195661,0.00982035384264793,0.141065382063054,0.0122548398179362,0.0145538765601578
"41",421899003773,"Eri","Semester 4 Control",0,4.90909090909091,3.75,3.66666666666667,0,3.75,3.5,3.75,3.75,3.75,3.75,NA,NA,NA,1,1,4.91666666666667,2,2,3,4,0.867269984917044,1326,1,1.05283539230896,0.149930434506167,1.05283539230896,0.82022252454105,1.30324482124238,1,0,0.453416932221478,0.00384562401230653,0.0284645902671412,0.717110561060658,0.00144135760685534,0.0424220632677294
"42",421899003769,"Chr","Semester 2",1,5,3,4,5,4,4,4,3,3,3,3.25,3.25,3.5,1,1,5,1,2,1,3.5,0.65666372462489,1133,1,-0.882908235311011,0.960002334375313,-0.882908235311013,0.963247839514007,-0.69410752968794,1,5,0.294629048096179,0.00644882373833777,0.00982035384264793,0.141065382063054,0.00530026971809921,0.0145538765601578
"43",421899003769,"196","Semester 2",1,4.90909090909091,3.25,4,4,4,4,4,3.5,3.5,2.75,3.25,3.25,4,1.2,2.2,5,2,5,1,4,0.65666372462489,1133,1,-0.237660359437688,0.960002334375313,-0.237660359437689,0.82022252454105,1.30324482124238,1,4.90909090909091,0.229809748477274,0.000861191543588977,0.00753819188143445,0.0825618227551769,0.000447155120663107,0.0118903623121463
"44",421899003769,"294","Semester 3",1,5,4,3.83333333333333,2,3.75,4,3.75,4,4,4,3.25,3.5,3.75,2.3,1.6,4.5,2,3,1,4,0.65666372462489,1133,0,1.69808326818228,0.55496638444074,1.69808326818228,0.963247839514007,1.30324482124238,1,5,0.294629048096179,0.00916067920195661,0.00982035384264793,0.141065382063054,0.0122548398179362,0.0145538765601578
"45",421899003769,"324","Semester 3",1,3.45454545454545,3.5,3.66666666666667,3,3,4,4,3.25,3.75,3.5,3,3.25,3,1.8,2.3,4.66666666666667,2,1,1,3.79,0.65666372462489,1133,0,0.407587516435635,0.149930434506167,0.407587516435634,-1.46818251502627,0.464356833851648,1,3.45454545454545,-0.807299045425199,0.0137873744689043,0.0243910802103953,-0.853495126170858,0.0124078247345865,0.0248194489655987
