Match_addr,City,Subregion,Region,Postal,Lng,Lat,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ARC_Addres,ARC_Neighb,ARC_City,ARC_Subreg,ARC_Region,ARC_Postal,ARC_Post_1,ARC_Countr,CrimeDate,Address_Cl,Zip_Code,CrimeType
"415 St Johns Church Rd, Camp Hill, Pennsylvania, 17011",Camp Hill,Cumberland,Pennsylvania,17011,-76.952528,40.229859,-76.952528,40.229859,-76.953528,-76.951528,40.228859,40.230859,415 St Johns Church Road (Method 3) 17011,,,17011,,,,,6/25/2015,415 St Johns Church Road (Method 3) 17011,17011,Theft by Unlawful Taking
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.937391,40.239519,-76.937391,40.239519,-76.942391,-76.932391,40.234519,40.244519,420 Salem Church Road (Glosser Steel) 17011,,,17011,,,,,5/6/2015,420 Salem Church Road (Glosser Steel) 17011,17011,Theft by Unlawful Taking
"420 St Johns Church Rd, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.951812,40.229122,-76.951812,40.229122,-76.952812,-76.950812,40.228122,40.230122,420 St Johns Church Road (Westys) 17011,,,17011,,,,,11/11/2016,420 St Johns Church Road (Westys) 17011,17011,Theft from a Motor Vehicle
"431 Railroad Ave, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.958147,40.227489,-76.958147,40.227489,-76.959147,-76.957147,40.226489,40.228489,431 Railroad Avenue (Rite Aid) 17011,,,17011,,,,,11/19/2015,431 Railroad Avenue (Rite Aid) 17011,17011,Theft by Unlawful Taking
"451 Freight St, Camp Hill, Pennsylvania, 17011",Camp Hill,Cumberland,Pennsylvania,17011,-76.939693,40.231153,-76.939693,40.231153,-76.940693,-76.938693,40.230153,40.232153,451 Freight Street (Paul Miller Trucking) 17011,,,17011,,,,,6/16/2016,451 Freight Street (Paul Miller Trucking) 17011,17011,Access Device Fraud
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.937391,40.239519,-76.937391,40.239519,-76.942391,-76.932391,40.234519,40.244519,451 Skyport Road (Good Hope Middle School) 17011,,,17011,,,,,8/18/2015,451 Skyport Road (Good Hope Middle School) 17011,17011,Criminal Trespass
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.937391,40.239519,-76.937391,40.239519,-76.942391,-76.932391,40.234519,40.244519,458 Pawnee Drive (Indian Creek Pool) 17011,,,17011,,,,,8/8/2016,458 Pawnee Drive (Indian Creek Pool) 17011,17011,Theft by Unlawful Taking
"460 Sterling St, Camp Hill, Pennsylvania, 17011",Camp Hill,Cumberland,Pennsylvania,17011,-76.943286,40.229807,-76.943286,40.229807,-76.944286,-76.942286,40.228807,40.230807,460 Sterling Street (ECD) 17011,,,17011,,,,,12/29/2016,460 Sterling Street (ECD) 17011,17011,Theft by Deception
"460 Sterling St, Camp Hill, Pennsylvania, 17011",Camp Hill,Cumberland,Pennsylvania,17011,-76.943286,40.229807,-76.943286,40.229807,-76.944286,-76.942286,40.228807,40.230807,460 Sterling Street (Damco) 17011,,,17011,,,,,1/22/2016,460 Sterling Street (Damco) 17011,17011,Theft by Unlawful Taking
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.937391,40.239519,-76.937391,40.239519,-76.942391,-76.932391,40.234519,40.244519,699 East Simpson Street (Palmer Automotive) 17011,,,17011,,,,,11/17/2016,699 East Simpson Street (Palmer Automotive) 17011,17011,Burglary
