LEAID,district_,latcod,loncod,TotalFreeLunch,NumberStudents,ulocal,coname,countyCode,NumberTeachers,povrate,NumberSchools,pctprofEnglish,povrateW
4221930,SOUTH BUTLER COUNTY SD,40.7499,-79.8296,569,2561,41,BUTLER COUNTY,42019,154.11,.227694525114381,4,50.4666666666667,.222178836392034
4222050,SOUTH MIDDLETON SD,40.13,-77.1941,401,2144,31,CUMBERLAND COUNTY,42041,166,.19044373181853,4,48.9666666666667,.187033582089552
4222060,SOUTH PARK SD,40.3029,-79.9904,427,1946,21,ALLEGHENY COUNTY,42003,128.14,.219017867207158,3,50.9,.219424460431655
4222140,SOUTH WILLIAMSPORT AREA SD,41.2278,-76.9985,450,1285,23,LYCOMING COUNTY,42081,90.08,.364091722506346,3,46.6333333333333,.350194552529183
4222170,SOUTH EASTERN SD,39.7318,-76.3175,730,2778,42,YORK COUNTY,42133,213.2,.282179343948479,6,47.88,.262778977681785
4222200,SOUTHEASTERN GREENE SD,39.7597,-79.9844,310,591,42,GREENE COUNTY,42059,56.67,.523137412466996,2,40.7,.524534686971235
4222230,SOUTH SIDE AREA SD,40.5678,-80.4351,333,1150,42,BEAVER COUNTY,42007,96,.290582822212439,3,49.05,.289565217391304
4222260,SOUTHERN COLUMBIA AREA SD,40.9044,-76.4971,339,1438,41,COLUMBIA COUNTY,42037,97.6,.232667199002496,3,50.15,.235744089012517
4222290,SOUTHERN FULTON SD,39.7538,-78.1878,359,793,42,FULTON COUNTY,42057,57.63,.451066687033006,2,45.1,.452711223203026
4222320,SOUTHERN HUNTINGDON COUNTY SD,40.2408,-77.8971,524,1262,42,HUNTINGDON COUNTY,42061,86.35,.413245106083445,4,44.025,.415213946117274
4222350,SOUTHERN LEHIGH SD,40.5343,-75.3995,412,3121,21,LEHIGH COUNTY,42077,198.85,.12769706447129,6,50.5,.132008971483499
4222370,SOUTHERN TIOGA SD,41.5581,-77.1133,801,1799,42,TIOGA COUNTY,42117,154,.447573571749442,6,44.48,.445247359644247
4222380,SOUTHERN YORK COUNTY SD,39.7631,-76.7705,689,3095,41,YORK COUNTY,42133,206,.230973434799678,5,49.9,.222617124394184
4222400,SOUTHEAST DELCO SD,39.909,-75.2966,2727,4099,21,DELAWARE COUNTY,42045,264.5,.655109944263816,6,32.875,.665284215662357
4222410,SOUTHMORELAND SD,40.1384,-79.5925,907,1932,41,WESTMORELAND COUNTY,42129,133.5,.477442312794387,4,50.6,.469461697722567
4222440,SENECA VALLEY SD,40.7931,-80.1267,1151,7229,21,BUTLER COUNTY,42019,476.53,.161121088995834,9,48.7142857142857,.159219809102227
4222470,SOUTH WESTERN SD,39.8034,-76.9652,913,4094,23,YORK COUNTY,42133,267.3,.227180266846527,6,48.42,.223009281875916
4222530,SPRING COVE SD,40.3057,-78.3206,755,1837,31,BLAIR COUNTY,42013,116.14,.410732500650533,4,45.85,.410996189439303
4222560,SPRING-FORD AREA SD,40.2315,-75.5413,1161,7841,21,MONTGOMERY COUNTY,42091,536.01,.162174143504131,12,52.9,.148067848488713
4222590,SPRING GROVE AREA SD,39.8992,-76.796,1284,3796,22,YORK COUNTY,42133,245,.347826211921669,6,45.4,.338250790305585
4222600,SPRINGFIELD SD,39.9249,-75.3428,564,3907,21,DELAWARE COUNTY,42045,249,.138374443684325,5,47.9666666666667,.14435628359355
4222620,SPRINGFIELD TOWNSHIP SD,40.1044,-75.1982,343,2228,21,MONTGOMERY COUNTY,42091,165.72,.152073564882476,4,50.5,.15394973070018
4222710,SAINT CLAIR AREA SD,40.717,-76.188,341,590,32,SCHUYLKILL COUNTY,42107,45,.577966101694915,1,37,.577966101694915
4222740,TUSCARORA SD,39.7873,-77.8999,863,2554,42,FRANKLIN COUNTY,42055,153.39,.355307468068621,6,49.88,.337901331245106
4222770,STATE COLLEGE AREA SD,40.7336,-77.8898,1080,6744,23,CENTRE COUNTY,42027,514.3,.171607062032177,11,43.77,.160142348754448
4222790,STEEL VALLEY SD,40.4051,-79.9078,1046,1647,21,ALLEGHENY COUNTY,42003,110.5,.649906127641688,5,32.5666666666667,.635094110503947
