NCESSCH,USER_ID,cohort,cohort2,ZPR_1,FIDELmid,EFFmeanMID,EFFmeanFINAL,CoTeachStrat,keep3strat,keep4strat,FidelMax,female,REG_AgeRange,REG_Exper,REG_GPA,pctLunch,Enrollment,MID_Fidel1,MID_Fidel2,MID_Fidel3,MID_Fidel4,MID_Fidel5,MID_Fidel6,MID_Fidel7,MID_Fidel8,MID_Fidel9,MID_Fidel10,MID_Fidel11,MID_Fidel12,MID_Fidel13,MID_Fidel14,MID_Fidel15,MID_Fidel16,MID_Fidel17,MID_Fidel18,MID_Fidel19,MID_Fidel20,MID_Fidel21,MID_Fidel22,MID_Fidel23,MID_Fidel24,MID_Fidel25,MID_Fidel26,MID_Fidel27
421899003760,471,Semester 5,1,-.760861689162349,4.81818181818182,3.08333333333333,3.75,4,1,1,4.91666666666667,1,2,1,3.8,.544897959183673,490,5,5,5,5,5,4,5,5,4,4,5,4,4,5,5,4,5,4,5,3,3,3,5,5,5,4,2
421899003744,284,Semester 3,1,1.40141185612062,5,3.91666666666667,4,4,1,1,5,1,4,4,3.9,1.15198863636364,704,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
421899003744,395,Semester 4,1,-.488322616567234,4.72727272727273,3.16666666666667,3.75,4,1,1,5,1,4,1,4,1.15198863636364,704,5,5,4,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
421899003744,Dex,Semester 4 Control,0,1.49612445060999,2.72727272727273,4,4,0,1,1,4.58333333333333,0,5,3,3.5,1.15198863636364,704,2,2,2,2,4,4,3,3,4,3,4,3,2,3,2,2,3,2,3,5,5,5,5,4,4,4,4
421884004853,Jes,Semester 2 Control,0, ,-9, ,3.25,0,1,1, , ,-88,-88,-88,.0496323529411765,544, , , , ,-77,-77, , ,-77, , ,-77, ,-77,-77, , , , , , , , , , , , 
421884001106,Dev,Semester 5 Control,0,-.701586196460434,5,3.08333333333333,3.83333333333333,0,1,1,4.41666666666667,1,2,1,4,20.588,418,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2
421839002761,Ale,Semester 1 Control,0, ,-9, ,4,0,1,1, , ,-88,-88,-88,.217910447761194,335,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
421776006346,Kat,Semester 1 Control,0, ,-9, ,3.75,0,1,1, , ,-88,-88,-88,.17671809256662,713,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
421776006345,234,Semester 2,1,-2.76914714725403,4.18181818181818,2.33333333333333,3.5,3,1,0,4.83333333333333,1,1,1,3.5,.133738601823708,987,4,4,4,3,3,5,5,4,4,4,5,3,5,5,5,2,4,3,4,4,4,4,5,4,4,4,3
421776006345,330,Semester 3,1,-.0914332031317878,4.63636363636364,3.33333333333333,3.33333333333333,5,1,1,4.83333333333333,1,2,1,3.9,.133738601823708,987,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
