NCESSCH,USER_ID,TreatmentFlag,FIDELmid,EFFmeanMID,EFFmeanFINAL,FINAL_a,FINAL_b,FINAL_c,MID_a,MID_b,MID_c,REG_a,REG_b,REG_c,CollabDialogueFinal,CollabDialogueMid,FidelMax,REG_Gender,REG_AgeRange,REG_Exper,REG_GPA,ZPR_1,FIDxGRP
421884004853,Cou,0,4.72727272727273,3.33333333333333, , , , ,3.75,3,3.25, , , , ,2.1, ,2,2,3,3.9,7.15904574140093E-016,0
421884004682,Ste,0,5,3.66666666666667, , , , ,3.5,3.75,3.75, , , , ,6, ,2,2,1,3.8,.855520247344866,0
421884001106,Dev,0,5,3.08333333333333,3.83333333333333,4,3.75,3.75,3.5,3,2.75, , , ,2.9,2,4.41666666666667,2,2,1,4,-.641640185508649,0
421776006346,412,1,4.18181818181818,3.08333333333333,3.25,3.25,3.5,3,3.25,3.5,2.5,3.25,3.25,3.5,3.1,2.8,4.25,2,1,1,4,-.641640185508649,4.18181818181818
421776006346,413,1,4.54545454545455,3.08333333333333, , , , ,3.25,3.25,2.75,3.25,2.5,2.5, ,2.3, ,1,2,1,3.2,-.641640185508649,4.54545454545455
421776006346,507,1,3.54545454545455,3.25, , , , ,3,3.5,3.25,2.75,2.75,2.5, ,2.7, ,1,1,2,3.6,-.213880061836216,3.54545454545455
421776006346,490,1,3.54545454545455,3.41666666666667,3.66666666666667,3.25,4,3.75,3.25,4,3,3,3,3.5,1.2,1.5,4.91666666666667,2,2,1,3.1,.213880061836217,3.54545454545455
421776006345,233,1,2.36363636363636,2.25,2.58333333333333,2.25,3,2.5,2,2,2.75,2.25,2,2.25,4.5,3.7,2.91666666666667,2,1,1,3.9,-2.78044080387082,2.36363636363636
421776006345,234,1,4.18181818181818,2.33333333333333,3.5,3.75,3.5,3.25,2.25,2.75,2,2.75,1.75,2,1,2.3,4.83333333333333,2,1,1,3.5,-2.5665607420346,4.18181818181818
421776006345,235,1,4.18181818181818,3.08333333333333,3,3,3,3,2.75,3.5,3,3.5,2.25,2.5,2,2.3,5,1,2,1,3.6,-.641640185508649,4.18181818181818
421776006345,330,1,4.63636363636364,3.33333333333333,3.33333333333333,3.25,3.5,3.25,3.25,3.5,3.25,2.75,2.25,2.5,2.1,1.4,4.83333333333333,2,2,1,3.9,7.15904574140093E-016,4.63636363636364
421776000459,237,1,4.54545454545455,3,3.16666666666667,3.5,3,3,3.25,3,2.75,3,3,3,2.9,2.2,3.83333333333333,2,1,1,3.71,-.855520247344866,4.54545454545455
421776000459,236,1,3.90909090909091,3.41666666666667,3.5,4,3.25,3.25,3.25,4,3,3,3,2.75,1.8,2.2,4.66666666666667,2,1,1,3.6,.213880061836217,3.90909090909091
421776000459,238,1,3.72727272727273,2.91666666666667,3.08333333333333,3.25,3,3,3,2.25,3.5,3,3,3.75,2,2,3.91666666666667,2,2,2,3.5,-1.06940030918108,3.72727272727273
421776000459,405,1,4.18181818181818,3.25,3.41666666666667,3.25,3.25,3.75,3.5,3.75,2.5,2.5,3,3.25,1,1.8,5,1,1,2,3.7,-.213880061836216,4.18181818181818
421776000459,504,1,4.45454545454545,3.33333333333333,3.33333333333333,3.25,3,3.75,3.25,3.25,3.5,2.75,2.5,3.25,1.8,1.3,4.25,2,1,1,3.6,7.15904574140093E-016,4.45454545454545
421776000459,498,1,3.81818181818182,3.58333333333333,3.58333333333333,3.5,3.5,3.75,3.5,3.5,3.75,2.5,2,2.75,2.6,1.9,3,2,1,1,3.7,.64164018550865,3.81818181818182
421689006078,581,1,4.36363636363636,3.16666666666667,4,4,4,4,3.25,3.5,2.75,3,3,3.5,1.8,2.4,4.5,2,1,2,3.7,-.427760123672433,4.36363636363636
421689005260,376,1,4.72727272727273,3.33333333333333,3.91666666666667,4,4,3.75,3.25,3,3.75,3.75,3,3.75,1,1.3,5,2,2,1,3.9,7.15904574140093E-016,4.72727272727273
421689003413,377,1,5,3.25,3.75,4,3.25,4,3.75,3,3,4,4,4,1,1,4.91666666666667,2,2,2,3.7,-.213880061836216,5
421590007344,Che,0,4.72727272727273,3.41666666666667, , , , ,3.5,3.25,3.5, , , , ,1.8, ,2,2,1,3.4,.213880061836217,0
421524001785,214,1,5,3.16666666666667,3.5,3.75,3.25,3.5,3.25,3.5,2.75,3,3,3,1.5,1.2,5,1,3,3,3.7,-.427760123672433,5
421524000703,374,1,5,3.5,3,3,3,3,3.25,3.75,3.5,3.25,3.75,4,2,1,3.91666666666667,2,2,1,3.73,.427760123672433,5
421524000703,375,1,5,3.66666666666667,4,4,4,4,3.75,4,3.25,3,4,4,2,1.9,4.33333333333333,2,2,1,3.44,.855520247344866,5
421524000703,570,1,4.27272727272727,3.66666666666667,4,4,4,4,3.75,3.75,3.5,3.25,3.25,3.75,1,1,4.83333333333333,2,2,2,3.4,.855520247344866,4.27272727272727
421524000703,587,1,4.90909090909091,3.08333333333333, , , , ,3.25,3,3,3,3,3, ,2.2, ,2,1,1,3.8,-.641640185508649,4.90909090909091
421524000703,577,1,5,4,4,4,4,4,4,4,4,3.5,3.25,3.5,1,1,4.83333333333333,2,2,4,3.91,1.71104049468973,5
421521007441,Jes,0,5,3.66666666666667,3.66666666666667,3.75,3.25,4,3.75,3.5,3.75, , , ,1,1,5,2,4,2,3.7,.855520247344866,0
421503006867,232,1,4.63636363636364,3.33333333333333,3.83333333333333,3.75,4,3.75,3.25,3.25,3.5,3,3.25,3,2.2,2.7,4.58333333333333,2,1,2,3.8,7.15904574140093E-016,4.63636363636364
421503006867,231,1,4.54545454545455,3,3.41666666666667,3.5,3.25,3.5,2.75,2.75,3.5,3,3.25,3,1.5,2.4,4.5,2,1,1,3.65,-.855520247344866,4.54545454545455
421503006867,493,1,5,3.75,3.75,4,3.5,3.75,3.25,4,4,2.75,3.25,2.5,1,1,5,2,1,1,3.4,1.06940030918108,5
421503006867,509,1,5,3.75,4,4,4,4,3.75,4,3.5,2.75,2.25,2,2.1,1.3,5,2,1,2,3.8,1.06940030918108,5
421503005098,Joh,0,4.90909090909091,2.33333333333333, , , , ,2.75,2.25,2, , , , ,2.1, ,1,1,2,3.6,-2.5665607420346,0
421503005021,332,1,4.27272727272727,3.08333333333333,3.41666666666667,3.5,3.5,3.25,3,3,3.25,3,2.75,3.25,1.6,2.3,4.5,2,1,2,3.4,-.641640185508649,4.27272727272727
421503005021,331,1,3.90909090909091,2.66666666666667,3.41666666666667,3.5,3,3.75,3.25,2.75,2,3,3,3.5,2.6,2.9,4.25,2,2,1,3.9,-1.71104049468973,3.90909090909091
421503005021,494,1,4.27272727272727,3.08333333333333,2,2,2,2,3.25,3,3,2.75,2.75,2.75,3.5,2.3,2.66666666666667,2,2,1,3.4,-.641640185508649,4.27272727272727
421503001711,404,1,3.90909090909091,3.5,3.75,3.5,4,3.75,3.25,3.5,3.75,3,3.25,3.5,2.3,2.3,4.58333333333333,2,1,1,3.9,.427760123672433,3.90909090909091
